Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▲
1,Toronto Raptors*,64,241.6,37.9,88.5,0.429,13,38.5,0.337,25,50,0.499,17.7,23,0.768,11.2,35.1,46.3,25.6,7,5.3,16.8,20,106.5
2,Boston Celtics*,64,242,38.3,86.8,0.442,11.8,34.5,0.342,26.5,52.3,0.507,18.4,24.2,0.761,10.2,34,44.3,22.2,7,5.6,15.3,20.6,106.8
3,Los Angeles Lakers*,63,240.8,39,87.7,0.444,11.3,33,0.342,27.7,54.8,0.506,17.7,22.8,0.774,9.8,32.5,42.3,23.2,8.2,3.7,15.7,21.4,106.9
4,Orlando Magic,65,240.4,40.1,86.6,0.463,12.4,33.4,0.37,27.7,53.2,0.522,14.8,19.1,0.772,9.1,36,45.1,24.5,7,4.8,14.8,19.2,107.3
5,Denver Nuggets,65,242.3,39.6,86.2,0.459,11.6,33.6,0.346,27.9,52.7,0.531,16.7,22.1,0.756,10,32.8,42.8,25,7.1,4.5,14.3,20,107.4
6,Indiana Pacers,65,241.5,39.5,88.1,0.448,11.4,33.2,0.345,28,54.9,0.51,17,21.6,0.789,10.1,34.6,44.7,23.2,6.8,4.5,14.4,18.6,107.4
7,Philadelphia 76ers,65,241.2,39.6,85.6,0.462,10.2,28.9,0.354,29.3,56.7,0.518,18,24.3,0.742,8.6,33.3,41.9,22.7,7,3.9,14,20.3,107.4
8,Milwaukee Bucks*,65,240.8,38.7,93.8,0.413,13.7,38.6,0.356,25,55.2,0.453,16.2,20.6,0.784,9.4,36.3,45.7,23.8,7.4,4.6,14.3,21.3,107.4
9,Utah Jazz,64,240.4,40.3,89.3,0.452,11.1,31.6,0.351,29.3,57.7,0.507,16.1,20.9,0.769,9.6,33,42.6,21.2,7.8,4.6,12,20.6,107.9
10,Oklahoma City Thunder,64,241.6,41.1,90,0.456,11.4,33.2,0.344,29.6,56.8,0.522,14.8,18.6,0.795,10.4,34,44.4,23.1,6.7,4.1,14,22.8,108.3
11,Miami Heat,65,243.5,38.9,87,0.447,13.1,38,0.346,25.7,49,0.525,18.1,23.3,0.776,9.2,33,42.2,24.7,7.5,4.2,13.7,21.5,108.9
12,Charlotte Hornets,65,242.3,41.7,87.5,0.476,12.4,35.1,0.352,29.3,52.5,0.558,14,18.4,0.758,10.9,35,46,26.6,8,5,14.4,20.6,109.6
13,Los Angeles Clippers,64,241.2,39.4,90.3,0.436,12,35.2,0.341,27.4,55,0.498,18.9,24.8,0.762,10.9,34.6,45.5,23.6,7.9,4.9,14.2,22.8,109.7
14,Chicago Bulls,65,241.2,39.5,82.5,0.479,11.2,31.6,0.353,28.3,50.9,0.557,19.7,26,0.759,10.2,35.4,45.5,25.4,8.2,5.9,18.3,19.2,109.9
15,Dallas Mavericks,67,241.5,41.4,91.2,0.454,11.8,34.3,0.345,29.6,56.9,0.52,15.6,20.7,0.757,10.6,34.7,45.3,23.8,7.1,4,12.2,20.8,110.3
16,Detroit Pistons,66,241.9,41.9,87.3,0.48,10.7,29.6,0.361,31.3,57.8,0.541,16.2,20.9,0.777,10.1,33.4,43.5,24.6,8.2,5.6,14,19.8,110.8
17,Sacramento Kings,64,242.3,39.9,85.3,0.468,12.3,34.6,0.355,27.6,50.7,0.545,18.9,23.8,0.793,9,34.5,43.5,24.5,7.8,4.3,15.1,19.3,110.9
18,Brooklyn Nets,64,243.1,41.2,93.3,0.442,12.1,34.6,0.35,29.1,58.6,0.496,16.9,22.1,0.763,10.8,35.2,46,22.4,7.8,5.3,12.6,20.9,111.4
19,New York Knicks,66,241.9,39.9,86,0.463,13.3,34.9,0.381,26.6,51.1,0.52,19.2,25.7,0.749,9.6,34.6,44.2,24.3,7.2,5,13.7,19.8,112.3
20,Memphis Grizzlies,65,240.4,40.8,90.7,0.45,12.8,35.2,0.363,28,55.5,0.505,19.3,24.5,0.786,10.5,34.5,45,24.8,7.9,5.3,14.6,19.7,113.7
21,Phoenix Suns,65,241.2,41.4,87.2,0.475,11.8,32.2,0.368,29.6,55,0.537,19.3,24.7,0.781,9.2,34.4,43.6,23.8,8.1,5.6,16,22.8,113.9
22,Houston Rockets,64,241.2,42.2,91.5,0.461,12.3,35.2,0.348,29.9,56.3,0.532,17.8,23.3,0.761,11.1,35.9,47,25.3,7.9,4.9,15.8,20.8,114.4
23,Cleveland Cavaliers,65,241.9,43.9,89.4,0.491,12.4,33,0.375,31.5,56.4,0.558,14.7,19.2,0.767,9.7,33.1,42.9,26.1,9.4,6.3,13,19.6,114.8
24,San Antonio Spurs,63,242.8,42.2,89.9,0.469,13.1,34.9,0.376,29,55,0.528,17.4,22.7,0.77,9.4,36.3,45.7,25.7,6.7,4.4,13,19.7,114.9
25,Golden State Warriors,65,241.9,42.2,88.6,0.476,13.5,34.8,0.389,28.7,53.8,0.533,17.1,21.9,0.783,10.2,36.3,46.5,26.1,8.2,4.9,15.6,20.1,115
26,Portland Trail Blazers,66,240.8,41.6,92.1,0.451,13.3,35.2,0.377,28.3,56.9,0.497,18.8,24.3,0.773,11.8,35.7,47.5,24.7,6.8,5,12.7,19.7,115.2
27,New Orleans Pelicans,64,242.3,42.9,92.2,0.465,12.1,33.9,0.355,30.9,58.3,0.529,19.1,24.4,0.782,10,35.1,45.1,24.6,8.6,4.8,14.5,20.6,117
28,Minnesota Timberwolves,64,243.1,43.1,90.4,0.477,11.6,31.9,0.363,31.6,58.5,0.539,19.7,25.2,0.783,10.1,37.2,47.3,24.4,7.8,5.5,15.5,21.6,117.5
29,Atlanta Hawks,67,243,43.3,90.7,0.478,11.9,32.7,0.363,31.4,58,0.542,21.2,27.4,0.772,11.2,35.9,47,25,9,6.4,15,21,119.7
30,Washington Wizards,64,241.2,43.4,88.6,0.49,12.5,33.1,0.378,30.9,55.5,0.557,20.3,26.3,0.772,10.6,35.7,46.3,25.3,7.5,5,16.3,22.4,119.7
,League Average,65,241.7,40.8,88.8,0.46,12.1,33.9,0.357,28.7,54.9,0.523,17.7,22.9,0.771,10.1,34.7,44.9,24.3,7.7,4.9,14.5,20.6,111.4
